event_id,user_id,event_name,event_timestamp
E0000001,U00001,landing_page,2025-06-13 19:00:00
E0000002,U00002,landing_page,2025-01-29 15:00:00
E0000003,U00002,signup,2025-01-29 15:15:00
E0000004,U00002,email_verified,2025-01-29 15:18:00
E0000005,U00002,onboarding_start,2025-01-29 15:26:00
E0000006,U00003,landing_page,2025-01-07 10:00:00
E0000007,U00004,landing_page,2025-03-12 16:00:00
E0000008,U00005,landing_page,2025-03-04 09:00:00
E0000009,U00005,signup,2025-03-04 09:16:00
E0000010,U00005,email_verified,2025-03-04 09:19:00
E0000011,U00006,landing_page,2025-02-27 13:00:00
E0000012,U00007,landing_page,2025-02-05 09:00:00
E0000013,U00007,signup,2025-02-05 09:15:00
E0000014,U00007,email_verified,2025-02-05 09:21:00
E0000015,U00007,onboarding_start,2025-02-05 09:22:00
E0000016,U00007,onboarding_end,2025-02-05 09:39:00
E0000017,U00007,purchase,2025-02-05 10:36:00
E0000018,U00008,landing_page,2025-01-27 12:00:00
E0000019,U00008,signup,2025-01-27 12:02:00
E0000020,U00008,email_verified,2025-01-27 12:05:00
E0000021,U00009,landing_page,2025-06-23 14:00:00
E0000022,U00009,signup,2025-06-23 14:11:00
E0000023,U00009,email_verified,2025-06-23 14:15:00
E0000024,U00009,onboarding_start,2025-06-23 14:27:00
E0000025,U00009,onboarding_end,2025-06-23 14:44:00
E0000026,U00010,landing_page,2025-05-20 09:00:00
E0000027,U00011,landing_page,2025-01-23 14:00:00
E0000028,U00011,signup,2025-01-23 14:11:00
E0000029,U00011,email_verified,2025-01-23 14:17:00
E0000030,U00012,landing_page,2025-06-01 15:00:00
E0000031,U00012,signup,2025-06-01 15:06:00
E0000032,U00012,email_verified,2025-06-01 15:15:00
E0000033,U00012,onboarding_start,2025-06-01 15:28:00
E0000034,U00012,onboarding_end,2025-06-01 16:06:00
E0000035,U00012,purchase,2025-06-01 17:49:00
E0000036,U00013,landing_page,2025-04-19 13:00:00
E0000037,U00013,signup,2025-04-19 13:15:00
E0000038,U00013,email_verified,2025-04-19 13:22:00
E0000039,U00013,onboarding_start,2025-04-19 13:23:00
E0000040,U00014,landing_page,2025-01-09 15:00:00
E0000041,U00014,signup,2025-01-09 15:04:00
E0000042,U00014,email_verified,2025-01-09 15:05:00
E0000043,U00014,onboarding_start,2025-01-09 15:18:00
E0000044,U00015,landing_page,2025-01-08 12:00:00
E0000045,U00015,signup,2025-01-08 12:05:00
E0000046,U00015,email_verified,2025-01-08 12:07:00
E0000047,U00015,onboarding_start,2025-01-08 12:17:00
E0000048,U00015,onboarding_end,2025-01-08 13:15:00
E0000049,U00015,purchase,2025-01-08 14:37:00
E0000050,U00016,landing_page,2025-01-24 16:00:00
E0000051,U00016,signup,2025-01-24 16:17:00
E0000052,U00016,email_verified,2025-01-24 16:18:00
E0000053,U00016,onboarding_start,2025-01-24 16:33:00
E0000054,U00016,onboarding_end,2025-01-24 16:44:00
E0000055,U00016,purchase,2025-01-24 17:20:00
E0000056,U00017,landing_page,2025-02-25 11:00:00
E0000057,U00017,signup,2025-02-25 11:20:00
E0000058,U00017,email_verified,2025-02-25 11:29:00
E0000059,U00017,onboarding_start,2025-02-25 11:36:00
E0000060,U00017,onboarding_end,2025-02-25 12:17:00
E0000061,U00018,landing_page,2025-03-01 08:00:00
E0000062,U00018,signup,2025-03-01 08:07:00
E0000063,U00018,email_verified,2025-03-01 08:16:00
E0000064,U00018,onboarding_start,2025-03-01 08:21:00
E0000065,U00018,onboarding_end,2025-03-01 08:37:00
E0000066,U00019,landing_page,2025-05-10 12:00:00
E0000067,U00019,signup,2025-05-10 12:10:00
E0000068,U00019,email_verified,2025-05-10 12:13:00
E0000069,U00019,onboarding_start,2025-05-10 12:20:00
E0000070,U00020,landing_page,2025-06-04 08:00:00
E0000071,U00020,signup,2025-06-04 08:12:00
E0000072,U00020,email_verified,2025-06-04 08:13:00
E0000073,U00020,onboarding_start,2025-06-04 08:15:00
E0000074,U00020,onboarding_end,2025-06-04 08:51:00
E0000075,U00021,landing_page,2025-01-07 12:00:00
E0000076,U00021,signup,2025-01-07 12:05:00
E0000077,U00021,email_verified,2025-01-07 12:09:00
E0000078,U00022,landing_page,2025-05-24 17:00:00
E0000079,U00022,signup,2025-05-24 17:18:00
E0000080,U00022,email_verified,2025-05-24 17:25:00
E0000081,U00023,landing_page,2025-02-20 12:00:00
E0000082,U00023,signup,2025-02-20 12:16:00
E0000083,U00023,email_verified,2025-02-20 12:18:00
E0000084,U00023,onboarding_start,2025-02-20 12:25:00
E0000085,U00024,landing_page,2025-06-16 08:00:00
E0000086,U00024,signup,2025-06-16 08:20:00
E0000087,U00024,email_verified,2025-06-16 08:24:00
E0000088,U00025,landing_page,2025-06-29 18:00:00
E0000089,U00025,signup,2025-06-29 18:11:00
E0000090,U00025,email_verified,2025-06-29 18:19:00
E0000091,U00025,onboarding_start,2025-06-29 18:30:00
E0000092,U00025,onboarding_end,2025-06-29 19:30:00
E0000093,U00026,landing_page,2025-05-20 13:00:00
E0000094,U00026,signup,2025-05-20 13:07:00
E0000095,U00026,email_verified,2025-05-20 13:16:00
E0000096,U00027,landing_page,2025-04-18 16:00:00
E0000097,U00027,signup,2025-04-18 16:02:00
E0000098,U00027,email_verified,2025-04-18 16:12:00
E0000099,U00027,onboarding_start,2025-04-18 16:15:00
E0000100,U00027,onboarding_end,2025-04-18 16:55:00
E0000101,U00027,purchase,2025-04-18 17:37:00
E0000102,U00028,landing_page,2025-02-26 18:00:00
E0000103,U00028,signup,2025-02-26 18:13:00
E0000104,U00028,email_verified,2025-02-26 18:17:00
E0000105,U00028,onboarding_start,2025-02-26 18:26:00
E0000106,U00028,onboarding_end,2025-02-26 18:46:00
E0000107,U00029,landing_page,2025-04-25 17:00:00
E0000108,U00029,signup,2025-04-25 17:04:00
E0000109,U00029,email_verified,2025-04-25 17:06:00
E0000110,U00030,landing_page,2025-05-31 19:00:00
E0000111,U00030,signup,2025-05-31 19:10:00
E0000112,U00030,email_verified,2025-05-31 19:14:00
E0000113,U00030,onboarding_start,2025-05-31 19:27:00
E0000114,U00030,onboarding_end,2025-05-31 20:20:00
E0000115,U00031,landing_page,2025-03-13 18:00:00
